location,date,month,magnitude,depth_of_focus,origin,intensity
"East of
Castillejos,
Zambales",4/22/2019,4,6.1,21,Tectonic,4
"East of
Burdeos,
Quezon",9/13/2019,9,5.5,10,Tectonic,2
"Taal, Batangas",1/12/2020,1,4,7,Volcanic,
"11 Km from
Nasugbu,
Calabarzon",5/10/2020,5,5.3,86,Tectonic,4
